accession_id,replicate_id,Trichome perimeter,Metals in stomata,Metal ring in trichomes,Trichome length,Leaf epidermis autofluorescence,Trichome autofluorescence,Trichome stem length,Metal surrounding trichomes,Number of trichome branches,Metal gradient in trichomes,Shaveproof trichomes,Autofluorescence color,Trichome circularity,Trichome area,Metal in trichome base,Callose content in trichomes,Trichome solidity,Trichome density
6085,82347,2140.596,0.0,0.0,3274.334,0.0,3.0,0.24,0.0,2.0,0.0,0.0,0.0,0.07572,25674.18,2.0,94.626,0.2924,2.0
6086,82348,1788.104,0.0,2.0,1991.482,2.0,3.0,0.25,0.0,2.5,2.0,1.0,0.0,0.09072,22879.09,0.0,71.187,0.266,3.0
6087,82349,1688.577,0.0,2.0,1840.476,0.0,3.0,0.23,0.0,2.0,2.0,1.0,0.0,0.07652,16963.38,1.0,201.927,0.25272,3.0
6090,82350,2018.575,0.0,1.0,2682.069,2.0,3.0,0.24,0.0,3.0,1.0,0.0,0.0,0.08032,24351.72,1.0,26.595,0.2818,3.0
6091,82351,2164.72,0.0,2.0,2294.899,2.0,3.0,0.28,0.0,2.5,1.5,1.0,0.0,0.06472,23166.36,0.0,73.637,0.20776,3.0
6092,82352,1850.753,0.0,0.0,2677.676,0.0,3.0,0.29,2.0,2.5,0.0,0.0,0.0,0.07368,19767.95,2.0,45.147,0.27844,4.0
6095,82353,2149.167,0.0,1.0,3032.783,2.0,2.0,0.27,0.0,2.0,0.0,0.0,0.0,0.07428,26452.05,2.0,22.932,0.29336,3.0
6097,82354,2328.322,0.0,2.0,3677.858,4.0,2.0,0.28,0.0,2.0,2.0,0.0,0.0,0.06732,28064.91,0.0,9.34,0.2536,4.0
6098,82355,1789.354,0.0,2.0,2248.143,4.0,2.0,0.27,0.0,2.0,2.0,0.0,0.0,0.09244,22779.21,0.0,2.357,0.29328,4.0
6099,82356,2011.516,0.0,0.0,2202.962,0.0,1.0,0.26,1.0,2.5,1.0,1.0,0.0,0.08416,26755.5,2.0,242.345,0.2792,2.0
6104,82357,2152.025,0.0,2.0,2293.987,0.0,2.0,0.31,0.0,3.0,1.0,1.0,0.0,0.07376,25227.62,0.0,71.561,0.24768,3.0
6106,82358,1992.73,0.0,0.0,1991.756,0.0,3.0,0.22,1.0,2.5,2.0,1.0,0.0,0.0702,21606.1,1.0,132.353,0.21132,3.0
6107,82359,1672.472,0.0,2.0,1754.025,0.0,2.0,0.27,0.0,3.0,3.0,0.0,0.0,0.0844,19096.31,0.0,34.977,0.27504,3.0
6109,82360,2741.967,0.0,1.0,4739.901,0.0,3.0,0.27,1.0,2.5,1.0,0.0,0.0,0.05635,33073.67,2.0,7.597,0.27294,3.0
6111,82361,1870.798,0.0,2.0,1848.773,0.0,1.0,,0.0,2.5,1.0,1.0,0.0,0.1094,27716.72,2.0,60.611,0.31732,2.0
6112,82362,1759.581,2.0,0.0,1909.54,0.0,1.0,0.21,2.0,3.0,1.0,1.0,0.0,0.0766,18001.69,2.0,88.653,0.2436,2.0
6114,82363,2570.045,0.0,0.0,3698.175,0.0,2.0,0.25,0.0,2.5,0.0,0.0,0.0,0.05936,30674.11,0.0,9.557,0.25288,3.0
