,index,y_pred,y_test
78,148,-0.0095096575,-0.11295790320360241
79,153,-0.0095096575,-0.13156337095067747
80,158,-0.0095096575,-0.1151283199755561
81,163,-0.0095096575,-0.13503127330963294
82,177,-0.0095096575,-0.16105318567890525
83,184,-0.0095096575,-0.22033641718446825
84,196,-0.0095096575,-0.2356435670498257
85,199,-0.0095096575,-0.23684300789748428
86,204,-0.0095096575,-0.27270045374816726
87,210,-0.0095096575,0.13324504016346314
88,211,-0.0095096575,-0.2439254205217541
89,231,-0.0095096575,-0.24843760275818416
90,234,-0.0095096575,-0.29520010065907804
91,247,-0.0095096575,-0.28591774198418635
92,250,-0.0095096575,-0.28611403834412724
93,257,-0.0095096575,-0.3353291863692049
94,265,-0.0095096575,-0.28742268074373306
95,271,-0.0095096575,-0.2885350267833979
96,278,-0.0095096575,-0.2935078679019001
97,299,-0.0095096575,-0.3344974272954788
98,302,-0.0095096575,-0.2582615944628166
99,304,-0.0095096575,-0.2583187106936575
100,309,-0.0095096575,-0.3352380090274025
101,331,-0.0095096575,-0.32036297016034776
102,361,-0.0095096575,-0.3381262777819058
103,364,-0.0095096575,-0.26088894108149735
104,367,-0.0095096575,1.5055510909604055
105,368,-0.0095096575,-0.3387928013406374
106,394,-0.0095096575,-0.352330428131778
107,419,-0.0095096575,-0.2821932951851479
108,431,-0.0095096575,-0.2833927360328065
109,442,-0.0095096575,0.9430396241029544
110,444,-0.0095096575,-0.28533468788139665
111,449,-0.0095096575,6.7044219513863155
112,464,-0.0095096575,-0.4391435126993867
113,468,-0.0095096575,5.01811935735869
114,512,-0.0095096575,4.4072531009043185
115,533,-0.0095096575,-0.4341208911154531
116,579,-0.0095096575,-0.43786107089871673
117,581,-0.0095096575,-0.3544453271988687
118,583,-0.0095096575,-0.3549022570455957
119,586,-0.0095096575,-0.3550164895072775
120,0,0.0007873089,-0.0327167986093004
121,15,0.0007873089,-0.11592126902788866
122,18,0.0007873089,0.0863957130121464
123,22,0.0007873089,-0.09799155259706542
124,33,0.0007873089,-0.11402624570173879
125,46,0.0007873089,-0.11959721319276942
126,54,0.0007873089,-0.02488402824315402
127,68,0.0007873089,-0.09028275955977069
128,75,0.0007873089,-0.11190087431581829
129,88,0.0007873089,-0.09171066533079279
130,89,0.0007873089,-0.09199624648499724
131,92,0.0007873089,-0.09216759517751989
132,93,0.0007873089,-0.07645613489634863
133,108,0.0007873089,-0.12195047023332432
134,109,0.0007873089,-0.09416666325695096
135,116,0.0007873089,-0.09445224441115531
136,117,0.0007873089,-0.12687251935242913
137,137,0.0007873089,-0.11804041471476012
138,144,0.0007873089,-0.10977447499724023
139,155,0.0007873089,-0.142104590301417
140,167,0.0007873089,-0.14873811670946907
141,176,0.0007873089,-0.12375287083252988
142,192,0.0007873089,-0.2651103278304535
143,195,0.0007873089,-0.1788013836104084
144,212,0.0007873089,-0.18905880072931402
145,244,0.0007873089,-0.2661357849612914
146,268,0.0007873089,-0.28768440922365424
147,272,0.0007873089,-0.28873132314333877
148,280,0.0007873089,-0.25631964261422635
149,310,0.0007873089,-0.31944556757200016
150,316,0.0007873089,-0.3354601835469799
151,319,0.0007873089,-0.3197984147213648
152,321,0.0007873089,-0.3036793079116212
153,328,0.0007873089,-0.33605264893251885
154,336,0.0007873089,-0.34781208009577924
155,341,0.0007873089,-0.3207158173097123
156,346,0.0007873089,-0.3367932306644425
157,356,0.0007873089,-0.30979709702801556
158,360,0.0007873089,-0.32212720590717003
159,371,0.0007873089,-0.350492456049338
160,396,0.0007873089,-0.3611999785296812
161,425,0.0007873089,-0.28299292241692015
162,426,0.0007873089,-0.28316427110944287
163,434,0.0007873089,0.40778439119714377
164,436,0.0007873089,4.73814824824999
165,482,0.0007873089,-0.3313837262673466
166,493,0.0007873089,6.995828290149096
167,503,0.0007873089,-0.41892374473480165
168,505,0.0007873089,4.916776667674974
169,519,0.0007873089,-0.4215898389697277
170,531,0.0007873089,-0.47103279178938395
171,535,0.0007873089,-0.4713391204697909
172,537,0.0007873089,-0.43440316883494495
173,546,0.0007873089,-0.43539114085316544
174,551,0.0007873089,-0.45706370392888135
175,576,0.0007873089,-0.43736708488960635
176,584,0.0007873089,-0.48780916343978653
177,588,0.0007873089,-0.40696716394772675
178,593,0.0007873089,-0.36391627643696345
179,594,0.0007873089,-1.677017874331836
180,7,0.17314838,-0.09721150796102415
181,19,0.17314838,-0.07778391240253091
182,25,0.17314838,-0.11284131493066056
183,42,0.17314838,-0.10192262059960515
184,49,0.17314838,-0.0893117836354756
185,56,0.17314838,-0.09618803829574177
186,69,0.17314838,-0.09033987579061153
187,114,0.17314838,-0.09439512818031444
188,124,0.17314838,-0.10275614687579641
189,141,0.17314838,-0.10957817863729938
190,149,-0.0683371,-0.12946954311130815
191,154,-0.0683371,-0.14196345144167122
192,172,-0.0683371,-0.16539335091357474
193,185,0.17314838,-0.2545103243936462
194,203,0.17314838,-0.2725695895082067
195,220,0.17314838,-0.2838239141448171
196,227,-0.0683371,-0.1784324047710762
197,228,0.17314838,-0.2844128032246395
198,245,0.17314838,-0.30822502822221004
199,249,-0.0683371,-0.30850730594170167
200,259,0.17314838,-0.2867029274239497
201,261,0.17314838,-0.3096364168196677
202,264,-0.0683371,-0.3361715902403232
203,275,-0.0683371,-0.32055558634680814
204,287,-0.0683371,-0.2940967569817226
205,296,-0.0683371,-0.3334606128707852
206,318,-0.0683371,-0.3355342417201721
207,332,-0.0683371,-0.3362007652789036
208,334,-0.0683371,-0.3477354979256777
209,335,-0.0683371,-0.34781208009577924
210,338,0.1642266,-0.2972374987407767
211,362,-0.0683371,-0.2607747086198156
212,365,0.17314838,-0.3224800530565346
213,369,-0.0683371,8.733452003232097
214,374,-0.0683371,-0.2615172196207472
215,377,-0.0683371,-0.3231857473552635
216,380,-0.0683371,-0.2998547835399885
217,390,-0.0683371,-0.3514880242606598
218,399,-0.0683371,-0.3252322608215775
219,408,-0.06160245,2.234351109447162
220,412,-0.0683371,-0.32295232189303136
221,421,0.17314838,-0.323737507332795
222,424,0.17314838,-0.3240646679326964
223,429,0.17314838,-0.27605287208199825
224,432,0.17314838,-0.32465355701251924
225,438,0.17314838,-0.3250461497324009
226,439,0.17314838,3.0243988076490815
227,446,0.17314838,0.3580632432626422
228,447,0.17314838,-0.38487785042499273
229,450,0.17314838,-0.3363004743690111
230,467,-0.0683371,-0.3950254269658698
231,478,0.17314838,-0.36718443499970893
232,485,0.17314838,3.3670307603553256
233,516,-0.0683371,-0.44667883926564145
234,517,0.17314838,-0.421441722623343
235,547,-0.0683371,-0.45691558758249634
236,548,-0.0683371,-0.4935922512814949
237,561,-0.0683371,-0.4045461755084557
238,563,-0.0683371,-0.4363791128713859
239,567,-0.0683371,-0.4047424718683965
240,3,-0.035773814,-0.04241596474936979
241,5,-0.035773814,-0.06811963259456756
242,16,-0.035773814,-0.09923990368041322
243,17,-0.035773814,-0.1124710240646986
244,23,-0.035773814,-0.09963249640029498
245,24,-0.035773814,-0.07888812968630532
246,26,-0.035773814,-0.09969792852027527
247,31,-0.035773814,-0.08754118047940813
248,37,-0.035773814,0.010155563302965562
249,45,-0.035773814,-0.11013663856899593
250,48,-0.035773814,-0.0979058866901074
251,50,-0.035773814,0.04528776060836045
252,57,-0.035773814,-0.04009520492659421
253,66,-0.035773814,-0.10336212723917161
254,94,-0.035773814,-0.10604484415836357
255,113,-0.035773814,-0.09594463647217888
256,126,-0.035773814,-0.08520823700532314
257,157,-0.035773814,-0.13189053155057895
258,173,-0.035773814,-0.16001637125421198
259,174,-0.035773814,-0.15247829649273248
260,175,-0.035773814,-0.1526194353524782
261,180,-0.035773814,-0.16705189770748888
262,190,-0.035773814,-0.26386711755082803
263,194,-0.035773814,-0.2660918096301579
264,222,-0.035773814,-0.2839547783847776
265,225,-0.035773814,-0.3063196536156417
266,229,-0.035773814,-0.24832337029650242
267,237,-0.035773814,-0.24889453260491123
