accession_id,replicate_id,root length day004,root length day005,root length day006,root length day007,root length day001,root length day002,root length day003,root length day007 minusZn,root length day006 minusZn,root length day004 minusZn,root length day002 minusZn,root length day001 minusZn,root length day003 minusZn,root length day005 minusZn
6730,25712,436.7483333,553.952375,697.538125,868.2492857,101.102,212.7262,337.582375,737.2744,609.75975,376.2105555556,185.506,89.457375,276.6682222222,477.6958888889
6897,25713,405.9059474,483.0536,574.0124375,653.8502667,101.8622632,223.049,315.2035789,569.2274285714,495.7863333333,342.7600666667,168.4543571429,79.54675,253.1574375,401.8635
6898,25714,438.5238571,536.8548571,703.2763333,835.2762857,147.546,268.0536,391.84225,831.9254,619.9237777778,429.383,233.8688,128.3711111111,333.051375,537.784375
6899,25715,472.0867143,586.1535,763.61575,884.9522857,112.6655714,246.127875,370.487,589.1852857143,485.5745,394.8792,190.9178333333,114.577875,257.4691428571,396.9258571429
6903,25716,465.7407143,658.9852,764.5706667,936.3466667,117.4001429,266.5001429,364.4337143,794.59025,663.52825,354.9378333333,192.2016666667,97.5673333333,303.8985,516.6164
6904,25717,691.3438333,877.0955455,1039.291182,1150.012,111.0517,304.2615455,498.4727,766.4305,613.0359090909,334.9601666667,96.89525,,224.1241818182,474.02875
6906,25718,373.585875,498.4618333,594.3512857,672.5445,141.4466,211.5601429,289.0777143,695.9324444444,705.0946666667,343.2976666667,178.979125,82.3812,254.7041111111,464.0017777778
6907,25719,530.4015,632.4805,805.4361,1007.731,127.7974545,247.6067,390.7988889,825.98675,792.43975,415.2475555556,199.9548181818,80.655375,302.0399,538.7873
6909,25720,720.6707143,832.4537143,1120.037286,1184.096857,187.5198182,306.876875,517.12725,1230.8038571429,684.6933333333,619.165875,340.1681428571,170.9355,471.0212857143,803.053875
6910,25721,568.125625,693.5888889,837.47475,976.3824444,139.7649,290.6864444,429.1857778,979.475,583.641875,534.3340833333,281.0998181818,120.9202222222,410.73,672.9708333333
6911,25722,521.2936667,627.7325,801.648,907.6535,143.4409091,284.4288571,355.574,1061.165,831.332,527.4275,228.3945,92.497,390.309,651.78
6913,25723,538.83425,725.444,727.943,764.0278571,128.5262857,283.3635714,397.1395,760.7435,668.1455,462.7485,233.2578,115.03,311.01575,559.99425
6915,25724,487.3098333,551.1375,727.312,712.1411429,123.8632857,247.5156,364.71625,531.0106666667,389.5165,243.454,129.6898571429,69.2476,180.4146666667,306.561375
6916,25725,643.8499,800.0012222,935.807625,968.426,134.9655,329.6117,487.4382727,1193.83875,932.6143,564.0717,263.6819090909,96.0026,423.8872,736.4236
6919,25726,533.0516,658.7438,826.459625,1014.210143,169.8932222,307.0525,424.2139,977.7506363636,845.2247,531.7537272727,292.1689090909,152.3697,399.7327272727,693.0902222222
6920,25727,428.19075,547.4968333,669.5031667,678.0796,118.87625,200.544375,311.0297143,515.2674285714,473.052,282.6183333333,138.326,75.5105,156.4396,289.7186666667
6922,25728,559.85775,594.1448,870.4145,976.5056,110.605125,259.6081667,486.518,808.8162857143,653.6753333333,466.0753333333,216.84825,110.6266666667,307.9221428571,550.4845
6923,25729,149.5918,303.0383333,396.9264,522.751,61.627,,103.4915,551.035,419.584,224.4167777778,154.286,44.59,173.56625,300.26
6924,25730,312.9342857,404.2597143,575.7672857,724.55875,127.7836667,163.50075,245.9996,326.8765,195.401,204.51,95.527,,128.811,169.7913333333
6926,25731,471.2358333,609.2214286,804.7464286,932.017625,130.1388571,243.0312857,354.1437143,621.1812222222,507.4538888889,356.8281111111,186.988875,131.9378,288.153,391.785
6928,25732,348.6314444,483.8684444,635.0661111,761.3737778,92.7415,163.5268,263.551625,444.171,390.5588,218.56425,109.094,52.1065,158.9544,329.387
6929,25733,477.3066,580.3369,638.6662,810.86525,125.983375,265.951,361.5554,793.3006,653.9623333333,430.3576,245.9154285714,127.0992,305.6678333333,505.317
6930,25734,552.2782727,742.8714,995.3296,1166.393,121.6143333,230.0996,387.1722,1260.666,1055.831125,652.2361111111,312.5574285714,150.2593636364,461.997,854.55
6931,25735,611.889,795.4074286,986.4543,1188.1218,156.81325,308.010375,442.848,1141.4707142857,1011.9536666667,586.8056,269.616,167.1426,412.52675,807.3328333333
6932,25736,588.977375,767.8184,965.431,1149.766091,82.8388,234.6450909,413.5576667,965.712125,796.551875,493.9398571429,197.0945555556,78.1581666667,332.5796666667,632.7307142857
6936,25737,623.019125,777.4607143,980.3128333,1130.972,139.224375,299.8575,467.70425,862.168625,774.93425,501.4315714286,273.529,138.8767777778,351.308,617.770875
6937,25738,512.6356667,641.7925833,818.5600909,866.65925,106.9796,253.5020909,385.98575,736.196,618.3897142857,386.939,155.3733333333,60.5846,291.7477777778,498.4854444444
6938,25739,542.6226364,682.0590909,823.3469167,950.9166364,138.5183636,327.69025,401.94775,616.4172857143,604.5528,378.6011428571,202.47325,,296.8588571429,590.8415
6939,25740,516.7771429,624.015375,786.15625,926.5554444,113.7247143,198.6313,360.0505714,604.3633333333,542.7468,263.428,178.1662,,218.474,419.229
6940,25741,517.014,651.1868889,756.0048182,876.3488182,120.398,241.487375,374.5136667,732.1471428571,629.7395,329.726,165.099125,,243.32325,428.6295
6942,25742,595.1016667,732.84225,853.868875,987.2025714,172.8705,312.0635714,461.2398,791.2584,625.191,498.244,251.51475,,375.6442222222,630.66725
6943,25743,328.05775,430.4574444,572.2034444,703.149,64.9705,131.3308571,242.7655714,734.8624444444,566.02275,318.400125,120.5515,,198.0667,442.4813333333
6944,25744,370.4037273,491.5747273,640.6121818,758.7914545,100.5528,223.1881429,299.2604444,728.2901666667,593.25275,356.9561666667,156.3646666667,,246.6731666667,473.6583333333
6945,25745,718.7575455,900.4546364,1108.219,1305.1264,161.995,341.2952727,530.3351667,885.2674545455,739.0226363636,446.6718888889,195.1818181818,94.7145714286,320.9958888889,562.5432
6946,25746,573.7324545,688.0055,866.3022,987.275,139.6318182,299.81,447.6851,882.444375,658.4972727273,427.6607272727,202.7398333333,,302.6960833333,564.3085555556
6951,25747,532.482,668.1548,814.7909,885.2884,85.47027273,214.2278333,374.2033,799.1752727273,664.8614,423.5423636364,180.6691818182,,307.8003,536.5177272727
6956,25748,516.2848333,681.7524167,822.92825,1052.972333,141.6601,275.3886667,407.4954,758.464,654.0826666667,283.65475,187.922,89.722,252.3798333333,427.64925
6958,25749,664.8324,860.6611,992.876375,1147.710909,121.0885,286.5824,470.1863333,848.5977,774.6385,416.3199,224.5741111111,101.662875,300.5113636364,564.79
6959,25750,488.4112857,581.6888889,754.15425,821.2655,91.87655556,239.1635556,364.881625,597.6297272727,447.2206666667,322.5833636364,168.8685454545,90.7589,254.5998181818,399.3945
6960,25751,334.4748889,453.218,600.8181667,646.1913,58.645,115.6495714,224.5284444,635.636,503.0677142857,287.9724444444,108.799875,63.2233333333,209.475375,378.5522222222
6961,25752,363.2125556,530.9696667,642.5559,779.9085556,91.9674,175.1305556,281.22175,661.9478571429,540.7925714286,342.837,149.943375,116.4265,252.0218571429,432.0418571429
6962,25753,509.0825,704.9156667,962.905,1196.211143,83.3158,207.8989,349.7248,855.2865555556,684.9351111111,435.490375,223.928,130.954,321.27275,517.1681428571
6963,25754,522.124,677.5245833,838.9991818,1010.203333,113.1195,247.957,376.6310833,556.8818,498.36125,300.578,189.965,84.734,209.9445,387.454625
6966,25755,288.5403,451.086,564.985,650.3653333,65.45566667,125.729875,197.206125,424.049125,327.7252222222,189.54925,87.506,,147.8503333333,244.7441111111
6967,25756,652.1428889,856.6306,1088.2258,1317.515,178.9768889,361.001,478.11125,1206.4731666667,971.3395,558.287,257.225625,110.101,417.684,758.8031666667
6968,25757,678.4905,889.903125,1096.79475,1258.351,185.8071667,381.572,536.7395,605.3842222222,501.4004444444,316.296875,131.169,49.8135,213.707,393.7097777778
6969,25758,627.8287273,773.1746,895.623,1052.68325,218.0495,400.2557778,527.5763,1110.8261111111,914.085,591.5875555556,317.53875,162.6375,458.1398888889,784.5908333333
6970,25759,444.1365455,528.3001667,684.8237273,817.4622,119.5481,223.03425,325.3783333,713.0176,619.75,382.8408181818,161.1218333333,71.5845555556,265.29875,483.3269090909
6971,25760,388.4307,468.877,644.244,758.483375,56.76133333,150.0181429,274.352,766.4474444444,637.9441111111,395.1151428571,183.1813333333,69.66875,285.7955555556,555.615875
6972,25761,639.0809091,813.0713636,1032.110091,1159.529364,135.9461667,319.368,474.2713,883.3387,741.0115,492.4199,223.563,112.1425555556,357.2851818182,607.1360833333
6973,25762,461.8585455,581.3161,689.5236667,834.9028571,115.0485,247.9447273,366.2420909,721.6855555556,615.6524444444,370.3037777778,169.0171,84.9103636364,273.7184444444,477.8853333333
6975,25763,551.6315455,673.7111818,781.2143636,901.9980909,164.591375,350.807,482.0633333,609.4881428571,560.7232727273,373.2134,230.367625,97.5812222222,277.5919,449.4669090909
6976,25764,596.6708571,719.9116,945.8217143,1111.676714,163.1571667,289.9164,434.9847143,833.6463333333,544.8976666667,381.4495,159.1236666667,53.2466666667,244.338125,557.7077142857
6977,25765,458.6737,600.2555,731.6306364,861.593,102.3087143,218.2248182,335.4484545,669.2854545455,536.7749,336.9603333333,141.4061428571,64.521,227.6047,421.9667272727
