,r2s,RMSEs,r2s_train,RMSEs_train,max_features,n_estimators,n_jobs,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
7,0.6983912580597613,0.6444373819061054,0.9263514809602907,0.265610253490847,0.1,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
8,0.30935082065920605,0.9006318703736476,0.8849950027340159,0.33584712890639346,1.0,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
9,0.4637157539951522,0.6896030561028629,0.9289321622533819,0.26817212507306915,0.1,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
0,0.36700587865147927,0.5862991493524454,0.9305998416828473,0.2700286830243337,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
1,0.6033004074744068,0.39115919242047126,0.9292788767552218,0.27471262803781743,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
2,0.7008418313031944,0.6700927666045328,0.9273547309655193,0.2616370643019398,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
3,0.24443217403340056,0.42072652147948747,0.9301788509884875,0.2748442028390984,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
4,0.24701004595037512,0.8998160686325782,0.9419778233952764,0.23979403800542026,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
5,0.5284921043096471,0.4502564312204076,0.9290157967933707,0.27463736007476913,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
6,0.3250035583762867,1.2392414593219714,0.930551817378628,0.2433024620874441,0.5,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
7,0.7004591178419034,0.6422244186483093,0.929434869953041,0.2599907520793524,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
8,0.7120852952206529,0.5815010245575428,0.9382574928446702,0.24607948789180725,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
9,0.5251851307550274,0.648879140705172,0.9309895707524941,0.2642618352647306,0.1,100,-1,Random_Forest,SNPs,-,100,314263,0.4953815543916374,0.6530196172942918,0.9317639671509557,0.2609288513606713,0.3667029445047085,0.4967912095923575,0.009029711600086272,0.026496058474560647
