,r2s,RMSEs,r2s_train,RMSEs_train,max_features,n_estimators,n_jobs,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.34703822461624945,0.9012439794124899,0.9147523131332724,0.28794105479271737,0.7,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
1,0.48686531058677374,0.6576721442660923,0.9188669078247198,0.2873271495791954,0.7,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
2,0.26098895933477895,0.973198768629375,0.9217584320801112,0.27492130946403726,0.7,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
3,0.26454012993539044,0.7247831531632665,0.9229197446412175,0.2820375503715536,0.7,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
4,0.476422599911566,0.8465922872500246,0.9159762245938488,0.28348148155832914,0.5,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
5,0.5561704024225083,0.6311048050139214,0.9171631020493881,0.28930373935460146,0.7,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
6,0.29317295972101076,0.7165499137604588,0.9220973389561483,0.2828061088058879,0.5,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
7,0.6020303999808623,0.5269260176059165,0.9171713185452521,0.2924718546326355,0.7,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
8,0.43233703560256564,0.8141959471577673,0.9183551632435266,0.2829630250555922,0.7,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
9,0.5301562344100638,0.6733341271000498,0.9254779014010877,0.27351333118636556,0.5,100,-1,Random_Forest,SNPs,-,100,314263,0.4249722256521769,0.7465601143359362,0.9194538446468572,0.28367666048009155,0.2463959801755836,0.26625257089022525,0.006752071843918407,0.011768561586214303
