,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,feature_represenation,trait,Model_Name,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
8,0.16304599232423445,0.847688660551402,0.902251817671218,0.3125968821940731,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
9,0.18588766798621525,0.9458038358824152,0.9072800556797126,0.3024581119967313,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
0,0.3175915747949346,0.756944019415522,0.8992693888287222,0.31989392484068574,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
1,0.2920154842945165,0.8270511284270842,0.903347427852067,0.3114735684918338,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
2,0.33783521380206294,0.7587183683718289,0.9020212103112089,0.31413085385695055,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
3,0.3868050818693024,0.7660796375045024,0.9010657736582235,0.31522622835223885,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
4,0.4743453295144969,0.648913636933939,0.8981197925859273,0.3224426865349578,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
5,0.1855791874430477,0.9893694665737516,0.9065061701336457,0.30223960722802956,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
6,0.07569131534890294,1.057248572719994,0.9089382889190981,0.2978753372178083,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
7,0.3603949618087966,0.7687053475446611,0.8997063650526506,0.31782414919328034,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
8,0.16634319080683513,0.84601726886569,0.9001081978804578,0.316005921730852,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
9,0.17706191945221228,0.9509167206732707,0.9028594261594731,0.3095843427779537,0.5,PCA_SNPs,study_31_FruitNumber,rf,111,0.2773663259135108,0.8369964167030244,0.9021942041381474,0.31266966202245905,0.23973441286493893,0.24661971217101467,0.006625701889009948,0.0150788482018248
0,0.31372140099770396,0.759087430150175,0.8997902847189277,0.3190657386131297,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
1,0.32605770809056034,0.8069225162204015,0.9014164062187668,0.3145696458797578,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
2,0.3432670298082361,0.7556000319559557,0.8983814956386948,0.31991231525901803,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
3,0.3251910967426874,0.8036464810106696,0.8984127733544438,0.3194247891702716,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
4,0.4129703135143208,0.6857513470671484,0.8997742505989319,0.3198138568273838,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
5,0.17346644865808125,0.996699671762171,0.9062798524872937,0.30260519719217543,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
6,0.0954795845197901,1.0458701727381994,0.904881474913628,0.3044382364160308,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
7,0.3823332106157612,0.7554071474745515,0.8991786213341306,0.31865924520511496,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
8,0.16748599987530322,0.8454371933671656,0.9000251734576822,0.3161372175901687,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
9,0.17757597604927666,0.9506196744031432,0.9042183969391185,0.3074112143477714,0.7,PCA_SNPs,study_31_FruitNumber,rf,201,0.2717548768871721,0.8405041666149581,0.9012358729661618,0.31420374565008224,0.2120306036517886,0.2321269917865043,0.005608846260751088,0.013304809499406505
0,0.2780059245539269,0.7785892244366796,0.900700884365005,0.31761276473581274,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
1,0.3717446548710689,0.77909169517773,0.9013486783199832,0.314677683547921,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
2,0.296141305367398,0.7822405000613435,0.9011615063957958,0.3155059969308815,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
3,0.29669444810389756,0.820439702143304,0.9013955058454456,0.3147004902618105,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
4,0.39654331481148763,0.6952799226914447,0.8999468379110672,0.3195383807329403,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
5,0.18941791066135094,0.9870350459808026,0.9054251170957978,0.3039819573188861,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
6,0.13679973405552415,1.0217023056776058,0.9054438911124115,0.30353686181434963,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
7,0.37044003762511646,0.7626451533287647,0.9023471100077564,0.3136120616441984,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
8,0.1320747507818507,0.8632304241444934,0.8983483267966641,0.3187774283648044,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
9,0.16609121344686573,0.9572341396136345,0.9040882197925642,0.30762004530032755,0.9,PCA_SNPs,study_31_FruitNumber,rf,310,0.2633953294278487,0.8447488113255802,0.9020206077642491,0.3129563670651932,0.19766267202232884,0.21353164282009027,0.004563958255798677,0.011495113270132891
0,0.31848877996328595,0.7564462548560646,0.9029339828490648,0.3140211233263284,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
1,0.3681555155974636,0.781313949482412,0.8989872045081183,0.31842172121624324,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
2,0.28966226261643646,0.7858325277548501,0.9018891988495951,0.31434240430805055,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
3,0.2742632355591166,0.8334205550948734,0.9016241694321553,0.31433538362551994,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
4,0.40625862594394246,0.6896604065138163,0.8986895932234902,0.32153973558526233,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
5,0.18623238625793137,0.9889726295910743,0.9042225010133252,0.30590857224046564,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
6,0.1261463552335398,1.027987755395901,0.9061772642413605,0.30235746107041955,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
7,0.3504197235962426,0.7746764952939457,0.8994945873669071,0.31815952724971325,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
8,0.08943031578242733,0.8841830204737309,0.9020554481753278,0.3129107176655629,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
9,0.18827468139704795,0.9444162486528611,0.9031396268256802,0.30913752441838666,1.0,PCA_SNPs,study_31_FruitNumber,rf,409,0.2597331881947434,0.8466909843109529,0.9019213576485025,0.31311341707059526,0.2100499083109193,0.21689414941369559,0.004664255365496334,0.011538704483079445
