,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,feature_represenation,trait,Model_Name,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.26524470465068195,0.8446416922583924,0.8596328710576077,0.37470873269874044,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
1,0.09558858106052281,1.2230435041749874,0.8687403706457499,0.34663877705979845,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
2,0.24626368321692005,0.8228861915521131,0.8645325171343292,0.3700281324351236,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
3,-1.1343964906311554,0.9995452999476135,0.8819789085595394,0.3538717695402573,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
4,-0.040335657315539786,1.0036586452177083,0.8773530960691799,0.3501094407183481,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
5,-0.16624433518056314,0.9546806837274691,0.8758923582798868,0.3563580564137504,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
6,0.3439223465142083,1.0823658716346027,0.8668477388123942,0.34905458165636416,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
7,-0.3033884880430282,0.8488185078901621,0.8732576991530546,0.3617908672853226,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
8,0.32073026904592694,0.8742891291661317,0.8614106249131926,0.36972339340028376,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
9,-0.33466180286585434,0.8190796225330645,0.8774312132509973,0.35911059816238855,0.1,PCA_SNPs,study_1_FRI,rf,4,-0.07072771895478809,0.9473009148102245,0.8707077397875932,0.35913943493703776,0.8841574156355364,0.25946859483241774,0.014837719964023832,0.019103870433957157
0,0.25125667427071585,0.8526437922640815,0.8820238852614095,0.34352484386304505,0.2,PCA_SNPs,study_1_FRI,rf,11,-0.0029714092824114193,0.9131870235910584,0.8844135657765962,0.33954075087358637,0.8114511941127903,0.1707498128676524,0.01251824743556953,0.012636973583099387
1,0.36122034758108124,1.027861084522161,0.8723721487085914,0.34180962345188837,0.2,PCA_SNPs,study_1_FRI,rf,11,-0.0029714092824114193,0.9131870235910584,0.8844135657765962,0.33954075087358637,0.8114511941127903,0.1707498128676524,0.01251824743556953,0.012636973583099387
