accession_id,replicate_id,Rosette diameter Mine,Leaf  S Mine (μg/g),Leaf Ca Mine (μg/g),Leaf Zn Mine (μg/g),Leaf K Mine (μg/g),Leaf B Mine (μg/g),Leaf Cu Mine (μg/g),Leaf Na Mine (μg/g),Leaf Fe Mine (μg/g),Leaf Mg Mine (μg/g),Leaf Mn Mine (μg/g),Estimated Soil Pb,Leaf Pb Mine (μg/g),Growth rate,Leaf P Mine (μg/g)
5232,71731,53.0,2133.65,23173.68,135.9,21826.3,26.76,,1871.05,94.65,2922.3,51.32,1.447132937,4.445,0.82,3017.84
5264,71732,60.0,1499.3,19658.93,123.0,20367.73,0.0,,2495.75,114.11,2772.17,49.59,1.001780846,4.281,0.87,2409.06
5380,71733,50.0,4068.75,32237.96,79.09,28579.02,28.28,,6529.14,125.72,4098.81,70.46,1.71054669,4.136,0.81,3770.49
5628,71734,45.0,,,,,,,,,,,,,0.87,
5753,71735,51.0,4338.59,41308.36,216.64,19611.83,33.17,,6362.61,518.09,5399.22,98.25,1.159886263,28.563,0.82,2764.1
5832,71736,22.0,1672.92,28418.85,176.22,11860.87,47.45,8.54,3371.99,1426.64,3561.8,81.91,-0.638882495,33.635,0.26,3231.59
5887,71737,50.0,3127.59,28752.91,0.68,33965.35,,,3606.25,123.44,4406.69,,-0.455836987,2.503,0.57,6529.34
5889,71738,42.0,1613.38,23235.28,122.35,20342.47,27.75,,1706.07,164.98,3032.23,32.52,,3.718,0.67,1388.36
5987,71739,53.0,2422.02,18061.01,110.92,28823.51,,,2865.44,91.48,2363.31,41.36,0.692792591,2.299,0.84,3640.91
6005,71740,46.0,3035.1,20108.03,111.92,29093.28,48.44,,2198.53,142.82,3131.03,41.81,-0.455836987,3.184,0.67,5311.78
6019,71741,50.0,3433.98,29659.3,101.27,26399.88,,,3416.6,161.64,4172.73,45.47,-0.707071856,10.021,0.63,2638.84
6020,71742,29.0,3667.15,23904.15,177.31,28597.85,48.35,,2140.8,158.27,3445.74,78.9,-0.707071856,5.633,0.53,6834.23
6039,71743,49.0,554.75,9529.77,33.2,5853.67,,,776.97,25.68,1204.92,14.94,-0.113140707,0.974,0.72,488.66
6042,71744,38.0,,,,,,,,,,,1.433349023,1.664,0.73,
6076,71745,53.0,6932.75,45589.8,300.86,29307.75,,,6937.19,270.41,4813.99,,0.110543816,26.96,0.67,5527.27
6096,71746,49.0,2063.62,35480.4,150.45,26738.45,35.57,,4240.87,523.98,4815.54,64.61,0.849492334,4.213,0.67,1160.27
6098,71747,36.0,3464.77,37965.66,191.42,28352.5,,,5136.38,321.87,4761.11,68.86,-0.094455651,15.423,0.38,6283.2
6100,71748,39.0,1787.15,27955.18,58.88,17507.31,30.88,,3696.35,125.0,3511.48,37.95,0.103327976,4.828,0.53,2988.17
6112,71749,41.0,7384.73,44101.11,228.2,35600.38,,,4651.32,178.69,6015.79,93.75,-0.41758424,8.293,0.46,5800.12
6190,71750,38.0,3644.82,35069.31,138.12,37190.23,31.38,,5587.37,206.95,5053.57,77.75,0.054068092,6.954,0.73,4463.28
6243,71751,45.0,2405.17,18418.9,110.28,18987.95,21.45,,2271.15,287.67,2371.02,49.75,0.94285671,10.96,0.69,3412.38
6318,71752,60.0,1826.2,27479.61,232.27,18567.82,51.6,,1977.83,163.63,3803.38,91.56,0.145980503,3.208,0.9,2280.19
6448,71753,29.0,4017.35,26669.53,150.83,24798.18,,,3055.82,525.48,4295.36,71.34,-0.634327639,42.405,0.45,3624.41
6449,71754,29.0,4483.16,34536.56,176.94,23795.03,29.58,,4331.06,162.41,4528.03,81.26,-0.634327639,7.105,0.58,5526.37
6709,71755,53.0,1590.43,21313.63,105.67,18367.8,46.76,9.89,1947.55,102.81,2245.54,40.44,,4.406,0.83,4219.88
6729,71756,60.0,1272.1,17931.93,65.9,16219.53,15.68,5.45,3245.71,124.56,2264.41,41.0,0.683138981,8.351,0.79,3670.0
6744,71757,60.0,2554.78,28720.21,131.47,24115.23,552.72,8.44,43763.63,140.52,3664.41,48.54,0.057834373,4.934,0.95,2674.8
6897,71758,46.0,2477.05,20667.02,134.7,17165.66,45.43,8.25,1803.53,152.97,2296.84,40.98,,9.03,0.71,4604.57
6898,71759,28.0,5453.77,49998.73,282.4,17345.9,144.11,33.57,7328.81,217.32,6342.09,,,6.624,0.72,3181.01
6899,71760,47.0,2449.97,21339.06,113.06,15853.67,,15.2,1742.78,154.59,2559.16,47.72,,11.872,0.55,3970.24
6903,71761,54.0,1111.05,13362.29,84.43,13587.97,34.65,6.42,1232.26,98.5,1408.59,26.56,,5.016,0.75,1858.5
6904,71762,26.0,2654.58,29020.7,127.53,30593.68,757.47,12.34,52518.86,142.91,4117.5,43.18,,3.041,0.58,2939.38
6905,71763,30.0,1511.06,18476.96,137.64,18819.63,51.06,9.5,4731.77,175.75,2355.0,39.98,,9.539,0.39,1793.93
6906,71764,32.0,4440.77,27957.89,178.04,20345.22,52.12,14.73,9163.93,940.13,3845.91,72.81,,24.798,0.54,5266.99
6907,71765,62.0,,,,,,,,,,,,,0.83,
6909,71766,39.0,658.11,22746.9,96.4,14652.08,37.81,7.25,1253.23,70.9,2614.43,40.83,,2.947,0.56,2177.03
6910,71767,80.0,1391.06,23593.78,84.37,22123.61,58.7,17.19,2175.01,126.85,2724.85,59.07,0.560085072,3.003,0.91,1442.81
6911,71768,50.0,,,,,,,,,,,,,0.83,
6913,71769,30.0,2697.92,25117.37,94.94,23345.42,64.51,,1743.38,169.4,2340.94,,,5.028,0.81,2963.47
6914,71770,35.0,3781.91,19903.69,59.14,23472.91,38.46,,1100.59,113.09,2201.02,47.77,,2.621,0.54,5478.29
6916,71771,77.0,2443.72,20228.68,81.21,25745.92,,,2004.6,134.9,2349.32,55.05,,2.929,0.84,3929.22
6919,71772,30.0,3387.38,23970.29,147.75,23721.63,,,3615.77,223.96,3147.42,70.97,,10.357,0.64,6411.63
6926,71773,35.0,3129.32,23683.32,129.49,27863.83,27.63,,2312.78,146.85,2855.97,46.07,,5.752,0.58,6228.39
6932,71774,26.0,2613.41,33823.95,156.72,28087.73,,,5333.3,134.0,4764.59,53.49,,8.357,0.42,1785.65
6936,71775,39.0,3554.1,21642.51,92.36,28048.95,,,2472.96,219.68,3201.34,,,37.365,0.41,2433.34
6940,71776,29.0,7488.77,38022.49,248.9,31065.2,76.57,,5699.85,850.76,5086.95,712.55,,83.13,0.57,6459.1
6943,71777,28.0,11575.89,51830.63,307.71,29392.62,,,8099.31,361.93,7643.36,,,14.083,0.67,8998.68
6946,71778,48.0,5654.4,30310.35,191.87,32516.9,46.3,,2115.62,152.42,4041.52,103.88,,6.289,0.71,6324.24
6951,71779,25.0,8843.99,49054.7,248.69,34906.47,,,3135.13,229.46,5301.25,92.55,,5.561,0.53,9223.73
6953,71780,30.0,5262.29,36472.72,142.09,41523.74,,15.2,4255.08,203.13,5325.85,75.31,-0.297937424,6.867,0.65,6635.89
6958,71781,54.0,4156.1,33313.33,220.47,27873.97,,,5728.16,207.64,5032.57,54.7,,11.91,1.08,3465.08
6962,71782,49.0,,,,,,,,,,,,,0.58,
6967,71783,15.0,,,,,,,,,,,,33.392,0.24,
6968,71784,20.0,2792.14,26102.6,130.62,33787.63,49.71,,5229.79,268.55,3703.57,72.21,,22.111,0.44,4381.97
6973,71785,56.0,4217.46,28165.77,116.95,26127.15,70.75,,4179.27,93.04,3848.03,49.18,,4.677,0.93,3388.45
