accession_id,replicate_id,EPPO (Elevated Partial Pressure of Oxygen seed-aging treatment),AAT (Accelerated seed Aging Treatment),CDT (Controlled seed Deterioration Treatment),NAT (Natural seed Aging Treatment)
5753,70242,0.708143746,0.163241425,0.051239669,0.525127047
5380,70243,0.580051151,0.197533445,0.032099185,0.416824197
5381,70244,0.474351995,0.110446477,0.0,0.296547203
5565,70245,0.355311355,0.225104088,0.066620879,0.255824176
5606,70246,0.8,0.077441077,0.086211513,0.653551913
5056,70247,0.287774554,0.379524153,0.101052632,0.093567251
5122,70248,0.684572319,0.067961165,0.317882869,0.684683379
5158,70249,0.602033022,0.253414705,0.229019899,0.449283154
5207,70250,0.596831806,0.318694632,0.202265819,0.351759793
5232,70251,0.417269737,0.026521382,0.234595635,0.211393869
5245,70252,1.0,0.092771639,0.400234742,0.715863454
5264,70253,0.586303564,0.170001672,0.137775268,0.522857143
6973,70254,0.526674107,0.34375,0.211880388,0.644974227
6976,70255,0.543204654,0.252401658,0.045878136,0.260780985
6977,70256,0.602863803,0.283605284,0.516225348,0.909309441
390,70257,0.605227964,0.235685232,0.0,0.104195665
392,70258,0.667188147,0.161398456,0.41238571,0.566343042
6979,70259,0.754822973,0.235122307,0.228543038,0.511584801
8419,70260,0.998395379,0.030487805,0.500210261,0.580243902
6980,70261,0.955025608,0.018200419,0.451370384,0.420884683
6982,70262,0.612995054,0.542899963,0.267051486,0.655166313
6983,70263,0.691071429,0.0,0.088598901,0.127013963
6985,70264,0.699182904,0.148065401,0.063242429,0.357716702
6448,70265,0.67122663,0.432361612,0.19413549,0.6910299
6449,70266,0.566074951,0.158800522,0.191066998,0.218623482
7405,70267,0.826865313,0.418657279,0.260946224,0.57126874
