accession_id,replicate_id,FT Diameter Field,At2 CFU2,Leaf serr 16,Seed bank 133-91,Na23,Leaf serr 10,Emco5,Leaf roll 16,Leaf roll 10,Bs,2W,Rosette Erect 22,Leaf serr 22,Width 16,Storage 28 days,LY ,avrRpm1,Width 10,Chlorosis 22,Storage 7 days,As2 CFU2,Co59,FW ,Cu65,Anthocyanin 22,Width 22,Storage 56 days,YEL ,FLC,FT16,FT10,FT Duration GH,Se82,LDV,Noco2,8W GH LN,0W,MT GH,After Vern Growth,Aphid number,LN22,Bs CFU2,avrRpt2,Hypocotyl length,Germ 22,Leaf roll 22,Silique 16,8W,FT GH,DSDS50,Ca43,LC Duration GH,At1 CFU2,B11,Chlorosis 10,RP GH,Chlorosis 16,LFS GH,Germ 10,Germ 16,Anthocyanin 16,Anthocyanin 10,0W GH FT,Ni60,P31,Emwa1,As75,Germ in dark,FRI,As CFU2,Trichome avg C,Vern Growth,Mo98,Hiks1,Bacterial titer,Zn66,Trichome avg JA,LES,SD,Emoy*,K39,0W GH LN,At2,At1,LN10,FT Field,LN16,avrB,LD,Seedling Growth,S34,Cd114,DW ,Seed Dormancy,Mn55,Silique 22,avrPphB,Fe56,8W GH FT,4W,Li7,FT22,As2,SDV,Mg25,Secondary Dormancy,As
6924,11,,,,,,,,,,,,,,,,0.0,,,,,,,0.8687,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0579,,,,,,,,,,,,,,
6924,12,,,,-12.4236,,,,,,,,,,,0.5,,,,,1.6899999999999998e-17,,,,,,,2.51225,,,,,,,,,,,,0.0227967,,,,,,,,,,,90.4933,,,,,,,,,,,,,,,,,,,,,,0.000508483,,,,,,,,,,,,,,,,,,0.00469405,,,,,,,,,,,,,,,,,
6961,13,,,0.75,,,1.0,,0.0,1.0,,,1.0,0.75,9.2,,,,5.7,1.0,,,,,,1.0,10.5,,,,47.0,46.0,,,20.1667,,,,,,,47.0,,,,3.0,0.0,1.6,,,,,,,,0.0,,0.0,,7.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,73.3333,,,,,,17.0,,39.0,,46.5417,,,,,123.0,,1.1,,,,,,56.0,,31.6667,,,
6961,14,,,,0.0,,,,,,,,,,,0.5,,,,,0.0,,,,,,,41.6514,,,,,,,,,,,,0.0584186,,,,,,,,,,,59.2843,,,,,,,,,,,,,,,,,,67.3207,,,,0.00270936,,,,,,,,,,,,,,,,,,0.00784365,,,,,,,,,,,,,,,,0.17760399999999998,
6961,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6961,16,,,,,,,,,,,,,,,,0.0,,,,,,,0.7015,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0438,,,,,,,,,,,,,,
6960,17,,,,,1002.33,,,,,,,,,,,,,,,,,1.4344299999999999,,0.577113,,,,,,,,,7.496569999999999,,,,,,,,,,,,,,,,,,26476.9,,,80.0964,,,,,,,,,,3.0102900000000004,9203.9,,0.189935,,,,,,1.70817,,,59.0205,,,,,36781.2,,,,,,,,,,10968.8,4.10824,,,66.385,,,57.8786,,,8.0747,,,,13935.5,,
6961,18,,,,,534.653,,,,,,,,,,,,,,,,,1.35202,,1.30293,,,,,,,,,5.6417,,,,,,,,,,,,,,,,,,27232.3,,,72.9876,,,,,,,,,,3.1792599999999998,7063.76,,0.243594,,,,,,3.78513,,,68.9331,,,,,27109.2,,,,,,,,,,9244.37,3.96686,,,117.52600000000001,,,59.0094,,,7.15265,,,,12516.0,,
6961,19,,3.259,,,,,,,,6.332999999999999,,,,,,,1.0,,,,4.735,,,,,,,,,,,,,,,,,,,17.0,,5.1370000000000005,1.0,,,,,,,,,,5.271,,,,,,,,,,,,,,,,,5.287999999999999,30.5,,,,15.6,,36.3,,,,,,0.0,3.333,,,,1.0,,,,,,,,,1.0,,,,,,0.0,,,,3.667
6961,20,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6961,21,,,,,,,,,,,23.8,,,,,,,,,,,,,,,,,,3.63,,,,,,,10.4,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0090000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,18.4,,,,,,,
6961,22,35.8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9776,,,,,,7.07637,,,,,,,,,,,55.5767,,,88.8256,,,,33.5888,,82.5147,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.717,,,,,,,,,,,,,,,,,,,,,
6900,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6900,24,,,,,927.7689999999999,,,,,,,,,,,,,,,,,2.17381,,1.11941,,,,,,,,,6.46284,,,,,,,,,,,,,,,,,,23560.6,,,73.3522,,,,,,,,,,3.47692,8715.8,,0.15664,,,,,,1.5489899999999999,,,94.6996,,,,,36589.7,,,,,,,,,,9975.02,4.87692,,,139.611,,,63.5415,,,5.82627,,,,11156.5,,
6900,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,26,,5.023,,,,,,,,5.5,,,,,,,1.0,,,,5.968,,,,,,,,,,,,,,,,,,,31.8,,5.446000000000001,1.0,,,,,,,,,,5.843999999999999,,,,,,,,,,,,,,,,,5.34,26.3,,,,11.0,,26.7,,,,,,2.167,1.8330000000000002,,,,1.0,,,,,,,,,0.0,,,,,,1.8330000000000002,,,,2.167
6900,27,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,1.113,,,,,,,21.7,,,,,,,,,,,,25.2,,,,,,,,,,,,,,,200.0,,,,,,2.7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,84.1,,,,,,,
6900,28,21.1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.15400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.283,,,,,,,,,,,,,,,,,,,,,
6899,29,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,30,,,0.5,,,0.0,,1.0,1.0,,,1.0,1.0,9.5,,,,3.4,1.0,,,,,,0.0,10.5,,,,34.0,54.0,,,23.1667,,,,,,,8.0,,,,2.0,0.0,1.8,,,,,,,,0.0,,1.0,,7.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,88.5208,,,,,,18.0,,11.0,,27.5,,,,,0.0,,1.1,,,,,,25.0,,79.3333,,,
6899,31,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,0.196,,,,,,,13.5,30.2,,,,,,,,,,,14.5,,,,,,,,,,,,,,,23.7,,,,,,0.3372,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,24.5,18.1,,,,,,,
6899,32,,,,,655.975,,,,,,,,,,,,,,,,,1.36351,,0.9927389999999999,,,,,,,,,9.37138,,,,,,,,,,,,,,,,,,28355.2,,,96.7573,,,,,,,,,,3.34824,7442.01,,0.239331,,,,,,3.5644699999999996,,,57.9322,,,,,26243.5,,,,,,,,,,14046.0,2.66823,,,73.2863,,,60.902,,,8.21425,,,,14316.5,,
6974,33,24.3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.915,,,,,,,,,,,,,,,,,,,,,
6974,34,,5.593,,,,,,,,9.833,,,,,,,1.0,,,,4.814,,,,,,,,,,,,,,,,,,,28.3,,4.311,1.0,,,,,,,,,,4.926,,,,,,,,,,,,,,,,,3.8,17.3,,,,17.7,,19.8,,,,,,0.667,2.167,,,,1.0,,,,,,,,,1.0,,,,,,0.33299999999999996,,,,4.667
6973,35,,,,-20.0264,,,,,,,,,,,1.48967,,,,,1.7199999999999998e-17,,,,,,,4.63917,,,,,,,,,,,,0.140898,,,,,,,,,,,75.5528,,,,,,,,,,,,,,,,,,,,,,0.00584478,,,,,,,,,,,,,,,,,,0.00808728,,,,,,,,,,,,,,,,,
6974,36,,,,,620.871,,,,,,,,,,,,,,,,,1.17056,,0.8443959999999999,,,,,,,,,7.10884,,,,,,,,,,,,,,,,,,29933.4,,,85.5871,,,,,,,,,,1.68849,7249.14,,0.24764899999999998,,,,,,7.087439999999999,,,55.8415,,,,,33573.4,,,,,,,,,,10866.4,2.25452,,,89.9086,,,61.3436,,,7.7095899999999995,,,,15205.8,,
6973,37,,4.843999999999999,,,,,,,,4.667,,,,,,,0.0,,,,5.322,,,,,,,,,,,,,,,,,,,16.5,,3.87,1.0,,,,,,,,,,4.056,,,,,,,,,,,,,,,,,4.848,26.0,,,,15.2,,40.0,,,,,,0.33299999999999996,2.333,,,,0.0,,,,,,,,,1.0,,,,,,0.667,,,,0.667
6973,38,,,,,,,,,,,,,,,,0.0,,,,,,,0.8804,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0852,,,,,,,,,,,,,,
6973,39,,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,,0.045,,,,,,,14.1,33.8,,,,,,,,,,,21.4,,,,,,,,,,,,,,,27.8,,,,,,1.6034,,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,28.2,22.2,,,,,,,
6973,40,29.7397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5358,,,,,,21.160999999999998,,,,,,,,,,,28.6377,,,72.2789,,,,43.7211,,51.2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.59900000000002,,,,,,,,,,,,,,,,,,,,,
6973,41,,,,,669.5939999999999,,,,,,,,,,,,,,,,,1.20461,,0.745657,,,,,,,,,5.78886,,,,,,,,,,,,,,,,,,28886.9,,,88.9356,,,,,,,,,,3.07762,8581.78,,0.20372300000000002,,,,,,1.2766600000000001,,,54.2823,,,,,30609.3,,,,,,,,,,9014.18,2.88922,,,82.7146,,,60.5988,,,8.4187,,,,14305.6,,
6973,42,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7525,43,,,,-43.1652,,,,,,,,,,,4.75,,,,,0.0,,,,,,,31.5769,,,,,,,,,,,,0.052813099999999995,,,,,,,,,,,66.7748,,,,,,,,,,,,,,,,,,,,,,0.00209178,,,,,,,,,,,,,,,,,,0.00620613,,,,,,,,,,,,,,,,,
7524,44,,,,,650.47,,,,,,,,,,,,,,,,,1.09275,,1.32372,,,,,,,,,5.8813,,,,,,,,,,,,,,,,,,29034.3,,,101.303,,,,,,,,,,2.84462,7149.32,,0.17588900000000002,,,,,,2.35355,,,65.5009,,,,,37883.3,,,,,,,,,,9025.78,3.09897,,,90.4392,,,57.9917,,,8.600660000000001,,,,14447.9,,
7524,45,,,0.75,,,0.0,,1.0,1.0,,,1.0,1.0,8.2,,,,2.7,0.0,,,,,,1.0,7.6,,,,55.0,51.0,,,24.1667,,,,,,,80.0,,,,2.0,0.0,1.3,,,,,,,,0.0,,1.0,,5.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,200.0,,,,,,15.0,,51.0,,47.0278,,,,,13.0,,1.5,,,,,,73.0,,67.2,,,
7525,46,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7525,47,,,0.0,,,0.0,,1.0,1.0,,,1.0,1.0,7.9,,,,3.0,0.0,,,,,,1.0,8.4,,,,41.0,46.0,,,24.1667,,,,,,,30.0,,,,2.0,0.0,1.4,,,,,,,,0.0,,1.0,,5.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,115.542,,,,,,15.0,,18.0,,31.5,,,,,43.0,,1.0,,,,,,43.0,,78.5,,,
6921,48,,,,73.6761,,,,,,,,,,,0.0,,,,,0.0,,,,,,,65.8889,,,,,,,,,,,,0.0657992,,,,,,,,,,,76.5499,,,,,,,,,,,,,,,,,,79.6053,,,,0.00240145,,,,,,,,,,,,,,,,,,0.00780387,,,,,,,,,,,,,,,,0.148809,
6921,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921,50,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922,51,31.8109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.175,,,,,,22.5222,,,,,,,,,,,26.1377,,,68.5261,,,,42.5834,,46.1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.525,,,,,,,,,,,,,,,,,,,,,
6922,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922,53,,4.875,,,,,,,,4.333,,,,,,,1.0,,,,4.081,,,,,,,,,,,,,,,,,,,50.5,,4.257,1.0,,,,,,,,,,3.207,,,,,,,,,,,,,,,,,4.482,42.5,,,,15.6,,32.5,,,,,,0.33299999999999996,2.0,,,,1.0,,,,,,,,,1.0,,,,,,1.5,,,,1.8330000000000002
6922,54,,,,,,,,,,,20.6,,,,,,,,,,,,,,,,,,0.125,,,,,,,16.1,27.4,,,,,,,,,,,18.7,,,,,,,,,,,,,,,27.1,,,,,,1.0577,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,,,,26.2,21.7,,,,,,,
6922,55,,,,,,,,,,,,,,,,1.0,,,,,,,0.6559,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0478,,,,,,,,,,,,,,
6922,56,,,,2.0100000000000003e-15,,,,,,,,,,,2.75,,,,,1.17,,,,,,,64.0081,,,,,,,,,,,,0.0953724,,,,,,,,,,,54.5074,,,,,,,,,,,,,,,,,,96.9697,,,,0.00488398,,,,,,,,,,,,,,,,,,0.00564339,,,,,,,,,,,,,,,,0.01294,
6922,57,,,,,581.727,,,,,,,,,,,,,,,,,1.2007,,1.11077,,,,,,,,,7.24258,,,,,,,,,,,,,,,,,,26613.7,,,77.5897,,,,,,,,,,2.8075200000000002,7323.57,,0.23435799999999998,,,,,,3.64739,,,73.3824,,,,,28742.4,,,,,,,,,,11231.3,3.5037300000000005,,,97.3252,,,61.1465,,,7.37713,,,,12811.1,,
6957,58,,,,,,1.0,,,0.0,,,0.0,0.75,,,,,1.5,0.0,,,,,,0.0,9.8,,,,,84.0,,,28.8333,,,,,,,46.0,,,,3.0,0.0,,,,,,,,,1.0,,,,7.0,,,0.0,,,,,,,,,,,,,,,,,101.20100000000001,,,,,,15.0,,,,44.3681,,,,,,,,,,,,,55.0,,47.0,,,
6957,59,24.3434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9776,,,,,,14.592,,,,,,,,,,,54.4853,,,91.2753,,,,36.7066,,76.3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.601,,,,,,,,,,,,,,,,,,,,,
6957,60,,,,,,,,,,,47.2,,,,,,,,,,,,,,,,,,2.175,,,,,,,19.6,78.8,,,,,,,,,,,24.1,,,,,,,,,,,,,,,45.1,,,,,,2.234,,,,,,,,,,,,,43.9,,,,,,,,,,,,,,,,,29.7,31.4,,,,,,,
6957,61,,5.907,,,,,,,,8.0,,,,,,,,,,,3.8930000000000002,,,,,,,,,,,,,,,,,,,,,4.78,,,,,,,,,,,2.068,,,,,,,,,,,,,,,,,1.409,,,,,,,,,,,,,2.0,2.25,,,,,,,,,,,,,,,,,,,1.5,,,,0.33299999999999996
6958,62,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6958,63,,,,-17.9362,,,,,,,,,,,8.190000000000001e-17,,,,,1.64e-17,,,,,,,0.5,,,,,,,,,,,,0.0627259,,,,,,,,,,,105.459,,,,,,,,,,,,,,,,,,8.31475,,,,0.00187969,,,,,,,,,,,,,,,,,,0.00812781,,,,,,,,,,,,,,,,1.05945,
6958,64,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,3.397,,,,,,,12.9,28.2,,,,,,,,,,,16.2,,,,,,,,,,,,,,,25.1,,,,,,0.4204,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,25.5,19.7,,,,,,,
6958,65,,,,,350.8,,,,,,,,,,,,,,,,,0.8954559999999999,,0.718778,,,,,,,,,6.01349,,,,,,,,,,,,,,,,,,27376.9,,,88.1743,,,,,,,,,,2.82238,8643.93,,0.20429,,,,,,3.96498,,,62.8209,,,,,30890.2,,,,,,,,,,10825.2,3.23137,,,93.7183,,,66.0522,,,6.20591,,,,12985.6,,
6958,66,,2.397,,,,,,,,2.0,,,,,,,0.0,,,,4.92,,,,,,,,,,,,,,,,,,,57.3,,5.105,1.0,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,3.4410000000000003,17.0,,,,17.2,,20.0,,,,,,0.0,0.667,,,,0.0,,,,,,,,,1.0,,,,,,0.5,,,,0.0
6958,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6931,68,,,1.5,,,1.5,,0.0,0.0,,,1.0,1.5,8.9,,,,4.0,1.0,,,,,,0.0,9.5,,,,37.0,46.0,,,22.0,,,,,,,15.0,,,,2.0,1.0,1.4,,,,,,,,0.0,,0.0,,5.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,83.1806,,,,,,12.0,,10.0,,31.0,,,,,132.0,,1.0,,,,,,30.0,,42.1667,,,
6009,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009,70,26.0843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.792,,,,,,,,,,,,,,,,,,,,,
8241,71,,3.637,,,,,,,,3.333,,,,,,,,,,,4.724,,,,,,,,,,,,,,,,,,,,,3.639,,,,,,,,,,,2.449,,,,,,,,,,,,,,,,,3.977,,,,,,,,,,,,,0.667,0.833,,,,,,,,,,,,,,,,,,,0.5,,,,0.33299999999999996
6940,72,,,,0.0,,,,,,,,,,,17.75,,,,,0.0,,,,,,,64.7064,,,,,,,,,,,,0.110865,,,,,,,,,,,49.0854,,,,,,,,,,,,,,,,,,54.6162,,,,0.00837184,,,,,,,,,,,,,,,,,,0.00744506,,,,,,,,,,,,,,,,0.233298,
6940,73,42.3391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0894,,,,,,22.0091,,,,,,,,,,,24.4549,,,62.3651,,,,38.0073,,40.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.52900000000002,,,,,,,,,,,,,,,,,,,,,
6940,74,,,,,,,,,,,,,,,,1.0,,,,,,,0.2083,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0176,,,,,,,,,,,,,,
6942,75,35.6868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.586,,,,,,17.9245,,,,,,,,,,,25.1234,,,64.0821,,,,39.3026,,46.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.273,,,,,,,,,,,,,,,,,,,,,
6940,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8241,77,,,,,,,,,,,33.4,,,,,,,,,,,,,,,,,,0.37,,,,,,,25.3,55.3,,,,,,,,,,,31.0,,,,,,,,,,,,,,,49.3,,,,,,1.146,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,
6940,78,,,,,584.977,,,,,,,,,,,,,,,,,1.50139,,0.813964,,,,,,,,,7.0940199999999995,,,,,,,,,,,,,,,,,,26563.1,,,86.2318,,,,,,,,,,3.3856800000000002,8229.41,,0.18523699999999999,,,,,,1.99603,,,77.3017,,,,,26369.8,,,,,,,,,,11995.9,4.08082,,,83.2488,,,57.0506,,,6.64438,,,,12730.1,,
8329,79,,,0.5,,,0.0,,0.0,1.0,,,0.0,0.5,7.2,,,,2.1,1.0,,,,,,0.0,9.5,,,,31.0,46.0,,,24.3333,,,,,,,11.0,,,,2.0,0.0,,,,,,,,,0.0,,1.0,,5.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,74.0083,,,,,,12.0,,10.0,,26.6667,,,,,,,,,,,,,26.0,,39.0,,,
8329,80,,2.909,,,,,,,,6.0,,,,,,,,,,,3.458,,,,,,,,,,,,,,,,,,,,,4.9830000000000005,,,,,,,,,,,3.075,,,,,,,,,,,,,,,,,4.655,,,,,,,,,,,,,0.5,0.33299999999999996,,,,,,,,,,,,,,,,,,,0.0,,,,1.3330000000000002
8334,81,,4.295,,,,,,,,3.833,,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,3.508,,,,,,,,,,,5.194,,,,,,,,,,,,,,,,,4.231,,,,,,,,,,,,,0.667,1.167,,,,,,,,,,,,,,,,,,,0.33299999999999996,,,,0.33299999999999996
8334,82,,,,,,,,,,,34.6,,,,,,,,,,,,,,,,,,1.69,,,,,,,16.2,56.4,,,,,,,,,,,22.1,,,,,,,,,,,,,,,41.8,,,,,,1.3980000000000001,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,29.3,,,,,,,,
